dataset,dataset_label,panel,included_in_main_figure,series,arm,tau,median_soh,q25_soh,q75_soh,n_unique_test_cells,n_seeds,n_trajectories,aggregation_unit,interpolation,source_split
mit,MIT,a,True,A0,A0,0.26262626,0.976918064896,0.971071306324,0.9812877592,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.27272727,0.975970715525,0.969988177694,0.980482493906,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.28282828,0.975011045923,0.968902606408,0.979617486454,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.29292929,0.97403449333,0.967817861261,0.978747233831,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.30303030,0.97304967582,0.966732639018,0.977867333334,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.31313131,0.972047965737,0.965647085287,0.976981616553,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.32323232,0.971034926661,0.964561057353,0.976090269798,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.33333333,0.970008129334,0.963475398454,0.975191624582,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.34343434,0.968971261515,0.962387617346,0.974287523312,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.35353535,0.96791705861,0.96130149583,0.973389663214,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.36363636,0.966855371069,0.960212696687,0.972492864115,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.37373737,0.96579055715,0.959125052455,0.971589210276,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.38383838,0.964764643975,0.958016460268,0.970680002959,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.39393939,0.963730399138,0.956904124054,0.969764496102,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.40404040,0.962577734136,0.955782352702,0.968839986364,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.41414141,0.961414231235,0.954612981754,0.967898427452,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.42424242,0.960234504558,0.953440866399,0.966884452331,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
mit,MIT,a,True,A0,A0,0.43434343,0.959044223852,0.952267999209,0.965859547159,14,4,56,test cell-seed trajectory,linear; per-cell future endpoints mapped to tau=0 and tau=1,test/future
